Guide,Truth,Indels,variable,value
nrxn3b_S,66.7%,Insertions > 10bp,ampliCan,65.7877169559412
tjp1b_B,66.7%,Insertions > 10bp,ampliCan,65.9538924156365
tjp1b_L,66.7%,Insertions > 10bp,ampliCan,64.6921017402945
cnsta,66.7%,Deletions > 10bp,ampliCan,66.5887069829602
cntn1a,66.7%,Deletions > 10bp,ampliCan,66.6221182759773
cntn1b,66.7%,Deletions > 10bp,ampliCan,66.6666666666667
cntn3b,66.7%,Deletions > 10bp,ampliCan,66.6444296197465
cntnap2b,66.7%,Deletions > 10bp,ampliCan,66.6666666666667
cntnap4,66.7%,Deletions > 10bp,ampliCan,66.7000668002672
CNTNAP5,66.7%,Deletions > 10bp,ampliCan,66.7669675693748
gjd1a,66.7%,Deletions > 10bp,ampliCan,66.6332999666333
nlgn1,66.7%,Deletions > 10bp,ampliCan,66.7446524064171
nlgn3a,66.7%,Deletions > 10bp,ampliCan,66.7222963951936
nlgn4a,66.7%,Deletions > 10bp,ampliCan,66.6889632107023
nrxn1a_L,66.7%,Deletions > 10bp,ampliCan,66.6110183639399
nrxn1a_S,66.7%,Deletions > 10bp,ampliCan,66.6889632107023
nrxn1b_L,66.7%,Deletions > 10bp,ampliCan,66.7334669338677
nrxn1b_S,66.7%,Deletions > 10bp,ampliCan,66.6555183946488
nrxn3a_L,66.7%,Deletions > 10bp,ampliCan,66.6666666666667
nrxn3b_L,66.7%,Deletions > 10bp,ampliCan,66.6666666666667
nrxn3b_S,66.7%,Deletions > 10bp,ampliCan,66.6221628838451
tjp1b_B,66.7%,Deletions > 10bp,ampliCan,66.677796327212
tjp1b_L,66.7%,Deletions > 10bp,ampliCan,66.7334000667334
cnsta,90%,No indels > 10bp,ampliCan,90.0066844919786
cntn1a,90%,No indels > 10bp,ampliCan,90.0133600534402
cntn1b,90%,No indels > 10bp,ampliCan,90.0033433634236
cntn3b,90%,No indels > 10bp,ampliCan,90.0066844919786
cntnap2b,90%,No indels > 10bp,ampliCan,90.0266844563042
cntnap4,90%,No indels > 10bp,ampliCan,89.9699097291876
CNTNAP5,90%,No indels > 10bp,ampliCan,90.0066844919786
gjd1a,90%,No indels > 10bp,ampliCan,90.0066844919786
nlgn1,90%,No indels > 10bp,ampliCan,90.0066844919786
nlgn3a,90%,No indels > 10bp,ampliCan,90.0702106318957
nlgn4a,90%,No indels > 10bp,ampliCan,89.9866488651535
nrxn1a_L,90%,No indels > 10bp,ampliCan,90.0334448160535
nrxn1a_S,90%,No indels > 10bp,ampliCan,90.0301104048177
nrxn1b_L,90%,No indels > 10bp,ampliCan,89.983305509182
nrxn1b_S,90%,No indels > 10bp,ampliCan,89.9799599198397
nrxn3a_L,90%,No indels > 10bp,ampliCan,89.9766120948881
nrxn3b_L,90%,No indels > 10bp,ampliCan,89.9732620320856
nrxn3b_S,90%,No indels > 10bp,ampliCan,89.9799599198397
tjp1b_B,90%,No indels > 10bp,ampliCan,89.9799599198397
tjp1b_L,90%,No indels > 10bp,ampliCan,89.983305509182
cnsta,90%,Mixed Indels,ampliCan,89.4050802139037
cntn1a,90%,Mixed Indels,ampliCan,90.0100233879051
cntn1b,90%,Mixed Indels,ampliCan,89.9766120948881
cntn3b,90%,Mixed Indels,ampliCan,89.9799599198397
cntnap2b,90%,Mixed Indels,ampliCan,90.0301104048177
cntnap4,90%,Mixed Indels,ampliCan,90.0233566900234
CNTNAP5,90%,Mixed Indels,ampliCan,89.9766120948881
gjd1a,90%,Mixed Indels,ampliCan,90.0133600534402
nlgn1,90%,Mixed Indels,ampliCan,90.0367769976597
nlgn3a,90%,Mixed Indels,ampliCan,89.9799599198397
nlgn4a,90%,Mixed Indels,ampliCan,89.9699097291876
nrxn1a_L,90%,Mixed Indels,ampliCan,89.983305509182
nrxn1a_S,90%,Mixed Indels,ampliCan,89.9564780716438
nrxn1b_L,90%,Mixed Indels,ampliCan,90.1168614357262
nrxn1b_S,90%,Mixed Indels,ampliCan,89.9766120948881
nrxn3a_L,90%,Mixed Indels,ampliCan,90.0937081659973
nrxn3b_L,90%,Mixed Indels,ampliCan,89.9933288859239
nrxn3b_S,90%,Mixed Indels,ampliCan,90.0100233879051
tjp1b_B,90%,Mixed Indels,ampliCan,90.0033433634236
tjp1b_L,90%,Mixed Indels,ampliCan,90.0100233879051
cnsta,90%,Insertions > 10bp,ampliCan,87.9010695187166
cntn1a,90%,Insertions > 10bp,ampliCan,87.5542208875542
cntn1b,90%,Insertions > 10bp,ampliCan,86.5776293823038
cntn3b,90%,Insertions > 10bp,ampliCan,89.0818030050083
cntnap2b,90%,Insertions > 10bp,ampliCan,88.2431529726119
cntnap4,90%,Insertions > 10bp,ampliCan,87.2867179658749
CNTNAP5,90%,Insertions > 10bp,ampliCan,88.1605351170569
gjd1a,90%,Insertions > 10bp,ampliCan,88.4101536406146
nlgn1,90%,Insertions > 10bp,ampliCan,84.4867937144768
nlgn3a,90%,Insertions > 10bp,ampliCan,89.7693079237713
nlgn4a,90%,Insertions > 10bp,ampliCan,89.2487479131887
nrxn1a_L,90%,Insertions > 10bp,ampliCan,87.9425517702071
nrxn1a_S,90%,Insertions > 10bp,ampliCan,88.4653961885657
nrxn1b_L,90%,Insertions > 10bp,ampliCan,89.2487479131887
nrxn1b_S,90%,Insertions > 10bp,ampliCan,88.5695187165775
nrxn3a_L,90%,Insertions > 10bp,ampliCan,87.5878220140515
nrxn3b_L,90%,Insertions > 10bp,ampliCan,89.1711229946524
nrxn3b_S,90%,Insertions > 10bp,ampliCan,88.3612040133779
tjp1b_B,90%,Insertions > 10bp,ampliCan,87.4415497661991
tjp1b_L,90%,Insertions > 10bp,ampliCan,88.5026737967914
cnsta,90%,Deletions > 10bp,ampliCan,89.9732620320856
cntn1a,90%,Deletions > 10bp,ampliCan,89.9766120948881
cntn1b,90%,Deletions > 10bp,ampliCan,90.0234348844995
cntn3b,90%,Deletions > 10bp,ampliCan,89.983305509182
cntnap2b,90%,Deletions > 10bp,ampliCan,89.9699097291876
cntnap4,90%,Deletions > 10bp,ampliCan,90.0133600534402
CNTNAP5,90%,Deletions > 10bp,ampliCan,89.9766120948881
gjd1a,90%,Deletions > 10bp,ampliCan,90.0534045393859
nlgn1,90%,Deletions > 10bp,ampliCan,90.0133600534402
nlgn3a,90%,Deletions > 10bp,ampliCan,90.0133600534402
nlgn4a,90%,Deletions > 10bp,ampliCan,90.0200267022697
nrxn1a_L,90%,Deletions > 10bp,ampliCan,89.9699097291876
nrxn1a_S,90%,Deletions > 10bp,ampliCan,90.0100233879051
nrxn1b_L,90%,Deletions > 10bp,ampliCan,90.0768459739392
nrxn1b_S,90%,Deletions > 10bp,ampliCan,89.9799599198397
nrxn3a_L,90%,Deletions > 10bp,ampliCan,90.0133600534402
nrxn3b_L,90%,Deletions > 10bp,ampliCan,90.0200267022697
nrxn3b_S,90%,Deletions > 10bp,ampliCan,89.9799599198397
tjp1b_B,90%,Deletions > 10bp,ampliCan,90.0100233879051
tjp1b_L,90%,Deletions > 10bp,ampliCan,90.0133600534402
